32,Fake Bloomberg News,BloombrgNewsish,Fake Bloomberg News Headlines Based on Real Bloomberg News Headlines. Links point to the real news. *Not affiliated with Bloomberg L.P.,15035,4,637,2349,6.400595998297148,1
33,Big Ben,big_ben_clock,"The first, established November 2009 & entirely unofficial. Copyright details here: http://t.co/q8UCMopfd5, but still apparently imitated everywhere.",77159,0,462418,3316,23.26869722557298,1
34,Auto Charts,AutoCharts,"Absurd charts, twice daily. You get one flow chart and one Venn diagram. A bot by @tinysubversions",2192,1,2021,1705,1.2856304985337244,1
35,Redbox Bot,redbox_bot,Tweets new releases at Redbox locations. Created by @zak123. Check out @Netflix_bot as well.,498,1,69,1672,0.29784688995215314,1
36,Egypt Tweets,EgyTweets,A bot that collects Tweets about Egypt. Post: '@EgyTweets STOP' to have it ignore your Tweets. Or '@EgyTweets START' to have it RT your Tweets again.,395172,0,13406,3404,116.09048178613396,1
37,The Dream Stream,thedreamstream,"So we all love hearing about other ppls dreams, yah?!  Well lets see what the whole world is dreaming!",9347,334,215,3442,2.7155723416618245,1
38,Twitt3r Geek,Twitt3rGeek,"I'm all about TWITTER. Follow me to stay informed with News, Facts and Rumors about Twitter. Please ReTweet me! I always follow you back, it's in my nature.",19625,3614,2940,3560,5.512640449438202,1
39,Opportunity Tweets,Opportunitweets,Opportunity is Knock... Tweeting!,66825,1704,1456,3564,18.75,1
40,All The Cheeses,AllTheCheeses,,18265,1760,1167,3478,5.251581368602645,1
41,Amazon Deals Bot,TheDealsDealer,Here to find you the best deals on the internet.,8,993,217,402,0.01990049751243781,1
42,bee movie,beemovie_bot,ok,8916,0,3690,1315,6.780228136882129,1
43,CricketBot,bot_cricket,This bot posts the popular tweets from on going cricket tournaments both @ICC and Domestic leagues @IPL . Follow for a mention 👍,4027,0,43,610,6.601639344262295,1
44,Football-News,Bot_Football,"Football News.
#Football #Soccer #Followback",555387,11603,12798,2263,245.4206805125939,1
45,PT-football,football_bot_PT,"Football news in Portuguese / Notícias de Futebol em Português
#football #futebol #Portuguese #Portugal #Brazil #Followback #TeamFollowBack",333829,8235,7507,2043,163.40137053352913,1
46,UK Politics,UKPoliticsBot,Tweets and Re-Tweets from the British Political Parties! Created by @MehLeonRoss,36415,22,353,1272,28.62814465408805,1
47,Bitcoin Pricebot,BTCPriceBot,Tweets 24hr summary of price for #Bitcoin every hour on the hour. Collects data from @GDAX via @cryptowat_ch. #Pricebots,5316,8,1740,570,9.326315789473684,1
48,BTC Trade Bot,BTCTradeBot,🔥Free and Best Automatic Bitcoin & Altcoins & USDT Trading Bot 🔥  Many more features and exchanges will be soon... #poloniex #bittrex #binance,225,329,10369,3505,0.06419400855920114,1
49,NBA Shot Charts,NBAChartBot,Tweeting EFG-based NBA shot charts since 2017.,2578,186,449,659,3.9119878603945373,1
50,BotSupplies,BotSalesWTS,"Snkr Bots for sale, PayPal invoice only, I have multiple reps and run a legit service. Dm offers on bots!",367,124,996,1433,0.25610607117934403,1
